time=2025-12-17T12:13:15.944Z level=INFO source=routes.go:1554 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:4096 OLLAMA_DEBUG:INFO OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/root/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2025-12-17T12:13:15.946Z level=INFO source=images.go:522 msg="total blobs: 19"
time=2025-12-17T12:13:15.947Z level=INFO source=images.go:529 msg="total unused blobs removed: 0"
time=2025-12-17T12:13:15.948Z level=INFO source=routes.go:1607 msg="Listening on 127.0.0.1:11434 (version 0.13.4)"
time=2025-12-17T12:13:15.948Z level=INFO source=runner.go:67 msg="discovering available GPUs..."
time=2025-12-17T12:13:15.950Z level=INFO source=server.go:429 msg="starting runner" cmd="/root/.local/bin/ollama runner --ollama-engine --port 42459"
time=2025-12-17T12:13:15.985Z level=INFO source=types.go:60 msg="inference compute" id=cpu library=cpu compute="" name=cpu description=cpu libdirs=ollama driver="" pci_id="" type="" total="13.6 GiB" available="13.3 GiB"
time=2025-12-17T12:13:15.986Z level=INFO source=routes.go:1648 msg="entering low vram mode" "total vram"="0 B" threshold="20.0 GiB"
[GIN] 2025/12/17 - 12:13:16 | 200 |      53.874µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/17 - 12:13:16 | 200 |     877.202µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/17 - 12:13:18 | 200 |      23.105µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/17 - 12:13:19 | 200 |   735.48924ms |       127.0.0.1 | POST     "/api/pull"
[GIN] 2025/12/17 - 12:13:19 | 200 |      22.533µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/17 - 12:13:19 | 200 |   30.056377ms |       127.0.0.1 | POST     "/api/create"
[GIN] 2025/12/17 - 12:13:19 | 200 |      21.923µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/17 - 12:13:19 | 200 |   524.29253ms |       127.0.0.1 | POST     "/api/pull"
[GIN] 2025/12/17 - 12:13:19 | 200 |      26.843µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/17 - 12:13:19 | 200 |   68.603123ms |       127.0.0.1 | POST     "/api/create"
[GIN] 2025/12/17 - 12:13:19 | 200 |      22.283µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/17 - 12:13:20 | 200 |  554.223162ms |       127.0.0.1 | POST     "/api/pull"
[GIN] 2025/12/17 - 12:13:20 | 200 |      43.444µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/17 - 12:13:20 | 200 |   39.644626ms |       127.0.0.1 | POST     "/api/create"
